message_id,participant_id,scenario,condition,run_number,frame,sim_time,robot_id,robot_state,robot_x,robot_y,message_type,message_text,appear_timestamp_iso,clicked,click_timestamp_iso,time_to_click_seconds
robot1-7.47,P20251104213521_bbe2fc,1,2,1,0,7.472958564758301,robot1,moving,9,10,on_track,"Moving to acquire package at Position (X9, Y10).",2025-11-04T21:35:22.348289,1,2025-11-04T21:35:23.818000,1.4697110652923584
robot2-7.47,P20251104213521_bbe2fc,1,2,1,0,7.472958564758301,robot2,moving,11,10,on_track,"Moving to acquire package at Position (X11, Y10).",2025-11-04T21:35:22.348452,1,2025-11-04T21:35:23.088000,0.7395479679107666
robot3-7.47,P20251104213521_bbe2fc,1,2,1,0,7.472958564758301,robot3,moving,10,10,on_track,"Moving to acquire package at Position (X10, Y10).",2025-11-04T21:35:22.348585,0,,
robot1-27.47,P20251104213521_bbe2fc,1,2,1,4,27.4727303981781,robot1,moving,9,10,on_track,"Moving to acquire package at Position (X9, Y10).",2025-11-04T21:35:27.824191,1,2025-11-04T21:35:28.776000,0.9518089294433594
robot2-27.47,P20251104213521_bbe2fc,1,2,1,4,27.4727303981781,robot2,moving,11,10,on_track,"Moving to acquire package at Position (X11, Y10).",2025-11-04T21:35:27.824359,1,2025-11-04T21:35:29.143000,1.318640947341919
robot3-27.47,P20251104213521_bbe2fc,1,2,1,4,27.4727303981781,robot3,moving,12.548828125,12.409693644261546,on_track,"Moving to acquire package at Position (X13, Y12).",2025-11-04T21:35:27.824492,0,,
robot1-32.47,P20251104213521_bbe2fc,1,2,1,5,32.472853660583496,robot1,moving,6.533203125,5.94421582075903,on_track,"Moving to acquire package at Position (X7, Y6).",2025-11-04T21:35:30.053956,1,2025-11-04T21:35:31.212000,1.1580438613891602
robot2-32.47,P20251104213521_bbe2fc,1,2,1,5,32.472853660583496,robot2,moving,9.833984375,14.39414723365341,on_track,"Moving to acquire package at Position (X10, Y14).",2025-11-04T21:35:30.055267,1,2025-11-04T21:35:31.928000,1.8727326393127441
robot3-34.10,P20251104213521_bbe2fc,1,2,1,6,34.103190183639526,robot3,moving,14.7265625,15.336076817558297,replan,"Route recalculated. Current Position (X15, Y15). Robot is 20 seconds behind of schedule.",2025-11-04T21:35:32.114264,1,2025-11-04T21:35:32.847000,0.732736349105835
robot2-36.60,P20251104213521_bbe2fc,1,2,1,8,36.60157346725464,robot2,moving,9.3359375,17.83264746227709,on_track,"Moving to acquire package at Position (X9, Y18).",2025-11-04T21:35:35.304246,1,2025-11-04T21:35:36.233000,0.9287543296813965
