message_id,participant_id,scenario,condition,run_number,frame,sim_time,robot_id,robot_state,robot_x,robot_y,message_type,message_text,appear_timestamp_iso,clicked,click_timestamp_iso,time_to_click_seconds
robot1-7.47,P20251104220338_63d0ce,1,2,1,0,7.472958564758301,robot1,moving,9,10,on_track,"Moving to acquire package at Position (X9, Y10).",2025-11-04T22:03:40.289291,1,2025-11-04T22:03:40.941000,0.6517093181610107
robot2-7.47,P20251104220338_63d0ce,1,2,1,0,7.472958564758301,robot2,moving,11,10,on_track,"Moving to acquire package at Position (X11, Y10).",2025-11-04T22:03:40.289481,1,2025-11-04T22:03:41.391000,1.1015188694000244
robot3-7.47,P20251104220338_63d0ce,1,2,1,0,7.472958564758301,robot3,moving,10,10,on_track,"Moving to acquire package at Position (X10, Y10).",2025-11-04T22:03:40.289929,1,2025-11-04T22:03:41.792000,1.5020711421966553
robot1-27.47,P20251104220338_63d0ce,1,2,1,4,27.4727303981781,robot1,moving,9,10,on_track,"Moving to acquire package at Position (X9, Y10).",2025-11-04T22:03:45.781628,0,,
robot2-27.47,P20251104220338_63d0ce,1,2,1,4,27.4727303981781,robot2,moving,11,10,on_track,"Moving to acquire package at Position (X11, Y10).",2025-11-04T22:03:45.781776,0,,
robot3-27.47,P20251104220338_63d0ce,1,2,1,4,27.4727303981781,robot3,moving,12.548828125,12.409693644261546,on_track,"Moving to acquire package at Position (X13, Y12).",2025-11-04T22:03:45.781898,0,,
robot1-32.47,P20251104220338_63d0ce,1,2,1,5,32.472853660583496,robot1,moving,6.533203125,5.94421582075903,on_track,"Moving to acquire package at Position (X7, Y6).",2025-11-04T22:03:48.129276,1,2025-11-04T22:03:55.666000,7.536724328994751
robot2-32.47,P20251104220338_63d0ce,1,2,1,5,32.472853660583496,robot2,moving,9.833984375,14.39414723365341,on_track,"Moving to acquire package at Position (X10, Y14).",2025-11-04T22:03:48.130098,0,,
robot3-34.10,P20251104220338_63d0ce,1,2,1,6,34.103190183639526,robot3,moving,14.7265625,15.336076817558297,replan,"Route recalculated. Current Position (X15, Y15). Robot is 20 seconds behind of schedule.",2025-11-04T22:03:50.074509,1,2025-11-04T22:03:56.607000,6.532490968704224
robot2-36.60,P20251104220338_63d0ce,1,2,1,8,36.60157346725464,robot2,moving,9.3359375,17.83264746227709,on_track,"Moving to acquire package at Position (X9, Y18).",2025-11-04T22:03:53.323648,1,2025-11-04T22:03:55.253000,1.929352045059204
