message_id,participant_id,scenario,condition,run_number,frame,sim_time,robot_id,robot_state,robot_x,robot_y,message_type,message_text,appear_timestamp_iso,clicked,click_timestamp_iso,time_to_click_seconds
robot1-7.47,P20251104222238_75615a,1,1,1,0,7.472958564758301,robot1,moving,9,10,on_track,"Moving to acquire package at Position (X9, Y10).",2025-11-04T22:22:40.034536,2,2025-11-04T22:22:42.086000,2.051464080810547
robot2-7.47,P20251104222238_75615a,1,1,1,0,7.472958564758301,robot2,moving,11,10,on_track,"Moving to acquire package at Position (X11, Y10).",2025-11-04T22:22:40.034727,0,,
robot3-7.47,P20251104222238_75615a,1,1,1,0,7.472958564758301,robot3,moving,10,10,on_track,"Moving to acquire package at Position (X10, Y10).",2025-11-04T22:22:40.034846,2,2025-11-04T22:22:43.016000,2.981153964996338
robot1-27.47,P20251104222238_75615a,1,1,1,4,27.4727303981781,robot1,moving,9,10,on_track,"Moving to acquire package at Position (X9, Y10).",2025-11-04T22:22:43.914099,0,,
robot2-27.47,P20251104222238_75615a,1,1,1,4,27.4727303981781,robot2,moving,11,10,on_track,"Moving to acquire package at Position (X11, Y10).",2025-11-04T22:22:43.914372,0,,
robot3-27.47,P20251104222238_75615a,1,1,1,4,27.4727303981781,robot3,moving,12.548828125,12.409693644261546,on_track,"Moving to acquire package at Position (X13, Y12).",2025-11-04T22:22:43.914534,0,,
robot1-32.47,P20251104222238_75615a,1,1,1,5,32.472853660583496,robot1,moving,6.533203125,5.94421582075903,on_track,"Moving to acquire package at Position (X7, Y6).",2025-11-04T22:22:44.925191,2,2025-11-04T22:22:45.519000,0.5938093662261963
robot2-32.47,P20251104222238_75615a,1,1,1,5,32.472853660583496,robot2,moving,9.833984375,14.39414723365341,on_track,"Moving to acquire package at Position (X10, Y14).",2025-11-04T22:22:44.925450,2,2025-11-04T22:22:45.169000,0.24354958534240723
robot3-32.47,P20251104222238_75615a,1,1,1,5,32.472853660583496,robot3,moving,15.869140625,14.87882944673068,on_track,"Moving to acquire package at Position (X16, Y15).",2025-11-04T22:22:44.925580,0,,
robot1-34.10,P20251104222238_75615a,1,1,1,6,34.103190183639526,robot1,moving,5.654296875,5.28577960676726,on_track,"Moving to acquire package at Position (X6, Y5).",2025-11-04T22:22:45.929459,2,2025-11-04T22:22:49.310000,3.3805408477783203
robot2-34.10,P20251104222238_75615a,1,1,1,6,34.103190183639526,robot2,moving,9.62890625,15.564700502972107,on_track,"Moving to acquire package at Position (X10, Y16).",2025-11-04T22:22:45.929863,0,,
robot3-34.10,P20251104222238_75615a,1,1,1,6,34.103190183639526,robot3,moving,14.7265625,15.336076817558297,replan,"Route recalculated. Current Position (X15, Y15). Robot is 20 seconds behind of schedule.",2025-11-04T22:22:45.930093,2,2025-11-04T22:22:47.171000,1.2409071922302246
robot2-36.60,P20251104222238_75615a,1,1,1,8,36.60157346725464,robot2,moving,9.3359375,17.83264746227709,on_track,"Moving to acquire package at Position (X9, Y18).",2025-11-04T22:22:47.998525,2,2025-11-04T22:22:48.672000,0.6734752655029297
robot2-37.93,P20251104222238_75615a,1,1,1,10,37.927443504333496,robot2,moving,9,19,on_track,"Moving to acquire package at Position (X9, Y19).",2025-11-04T22:22:49.963351,0,,
