message_id,participant_id,scenario,condition,run_number,frame,sim_time,robot_id,robot_state,robot_x,robot_y,message_type,message_text,appear_timestamp_iso,clicked,click_timestamp_iso,time_to_click_seconds
robot1-5.13,P20251106022738_b3af40,1,1,1,0,5.127362251281738,robot1,moving,9,10,on_track,"Moving to acquire package at Position (X9, Y10).",2025-11-06T02:27:48.110985,0,,
robot2-5.13,P20251106022738_b3af40,1,1,1,0,5.127362251281738,robot2,moving,11,10,on_track,"Moving to acquire package at Position (X11, Y10).",2025-11-06T02:27:48.111215,0,,
robot3-5.13,P20251106022738_b3af40,1,1,1,0,5.127362251281738,robot3,moving,10,10,on_track,"Moving to acquire package at Position (X10, Y10).",2025-11-06T02:27:48.111334,0,,
robot3-25.13,P20251106022738_b3af40,1,1,1,4,25.12954092025757,robot3,moving,12.548828125,12.409693644261546,on_track,"Moving to acquire package at Position (X13, Y12).",2025-11-06T02:27:53.575572,0,,
robot1-30.13,P20251106022738_b3af40,1,1,1,5,30.12946343421936,robot1,moving,7.265625,6.090534979423868,on_track,"Moving to acquire package at Position (X7, Y6).",2025-11-06T02:27:54.594230,0,,
robot2-30.13,P20251106022738_b3af40,1,1,1,5,30.12946343421936,robot2,moving,9.921875,14.10150891632373,on_track,"Moving to acquire package at Position (X10, Y14).",2025-11-06T02:27:54.594541,0,,
robot3-30.13,P20251106022738_b3af40,1,1,1,5,30.12946343421936,robot3,moving,15.166015625,14.439871970736169,on_track,"Moving to acquire package at Position (X15, Y14).",2025-11-06T02:27:54.595214,0,,
robot1-32.68,P20251106022738_b3af40,1,1,1,6,32.675299644470215,robot1,moving,6.03515625,5.651577503429356,on_track,"Moving to acquire package at Position (X6, Y6).",2025-11-06T02:27:55.461458,0,,
robot2-32.68,P20251106022738_b3af40,1,1,1,6,32.675299644470215,robot2,moving,9.62890625,15.564700502972107,on_track,"Moving to acquire package at Position (X10, Y16).",2025-11-06T02:27:55.461778,0,,
robot3-32.68,P20251106022738_b3af40,1,1,1,6,32.675299644470215,robot3,moving,14.7265625,15.336076817558297,replan,"Route recalculated. Current Position (X15, Y15). Robot is 18 seconds behind of schedule.",2025-11-06T02:27:55.461964,0,,
robot2-35.13,P20251106022738_b3af40,1,1,1,8,35.12714958190918,robot2,moving,9.599609375,17.24737082761774,on_track,"Moving to acquire package at Position (X10, Y17).",2025-11-06T02:27:57.318128,0,,
robot1-37.17,P20251106022738_b3af40,1,1,1,10,37.17093300819397,robot1,moving,5.33203125,4.9931412894375855,on_track,"Moving to acquire package at Position (X5, Y5).",2025-11-06T02:27:59.153805,0,,
robot2-37.17,P20251106022738_b3af40,1,1,1,10,37.17093300819397,robot2,moving,9,19,on_track,"Moving to acquire package at Position (X9, Y19).",2025-11-06T02:27:59.154196,0,,
