message_id,participant_id,scenario,condition,run_number,frame,sim_time,robot_id,robot_state,robot_x,robot_y,message_type,message_text,appear_timestamp_iso,clicked,click_timestamp_iso,time_to_click_seconds
robot1-5.13,P20251106022922_2072bf,1,1,2,0,5.127362251281738,robot1,moving,9,10,on_track,"Moving to acquire package at Position (X9, Y10).",2025-11-06T02:29:24.035302,0,,
robot2-5.13,P20251106022922_2072bf,1,1,2,0,5.127362251281738,robot2,moving,11,10,on_track,"Moving to acquire package at Position (X11, Y10).",2025-11-06T02:29:24.035594,0,,
robot3-5.13,P20251106022922_2072bf,1,1,2,0,5.127362251281738,robot3,moving,10,10,on_track,"Moving to acquire package at Position (X10, Y10).",2025-11-06T02:29:24.035706,0,,
robot3-25.13,P20251106022922_2072bf,1,1,2,4,25.12954092025757,robot3,moving,12.548828125,12.409693644261546,on_track,"Moving to acquire package at Position (X13, Y12).",2025-11-06T02:29:27.541703,0,,
robot1-30.13,P20251106022922_2072bf,1,1,2,5,30.12946343421936,robot1,moving,7.265625,6.090534979423868,on_track,"Moving to acquire package at Position (X7, Y6).",2025-11-06T02:29:28.452898,0,,
robot2-30.13,P20251106022922_2072bf,1,1,2,5,30.12946343421936,robot2,moving,9.921875,14.10150891632373,on_track,"Moving to acquire package at Position (X10, Y14).",2025-11-06T02:29:28.453115,0,,
robot3-30.13,P20251106022922_2072bf,1,1,2,5,30.12946343421936,robot3,moving,15.166015625,14.439871970736169,on_track,"Moving to acquire package at Position (X15, Y14).",2025-11-06T02:29:28.453231,0,,
robot1-32.68,P20251106022922_2072bf,1,1,2,6,32.675299644470215,robot1,moving,6.03515625,5.651577503429356,on_track,"Moving to acquire package at Position (X6, Y6).",2025-11-06T02:29:29.443139,0,,
robot2-32.68,P20251106022922_2072bf,1,1,2,6,32.675299644470215,robot2,moving,9.62890625,15.564700502972107,on_track,"Moving to acquire package at Position (X10, Y16).",2025-11-06T02:29:29.443360,1,2025-11-06T02:29:32.182000,2.7386395931243896
robot3-32.68,P20251106022922_2072bf,1,1,2,6,32.675299644470215,robot3,moving,14.7265625,15.336076817558297,replan,"Route recalculated. Current Position (X15, Y15). Robot is 18 seconds behind of schedule.",2025-11-06T02:29:29.443492,0,,
robot2-35.13,P20251106022922_2072bf,1,1,2,8,35.12714958190918,robot2,moving,9.599609375,17.24737082761774,on_track,"Moving to acquire package at Position (X10, Y17).",2025-11-06T02:29:31.285949,0,,
robot1-37.17,P20251106022922_2072bf,1,1,2,10,37.17093300819397,robot1,moving,5.33203125,4.9931412894375855,on_track,"Moving to acquire package at Position (X5, Y5).",2025-11-06T02:29:33.139871,0,,
robot2-37.17,P20251106022922_2072bf,1,1,2,10,37.17093300819397,robot2,moving,9,19,on_track,"Moving to acquire package at Position (X9, Y19).",2025-11-06T02:29:33.140188,0,,
robot1-37.20,P20251106022922_2072bf,1,1,2,11,37.195619106292725,robot1,moving,5.33203125,4.9931412894375855,replan,"Route recalculated. Current Position (X5, Y5). Robot is 24 seconds behind of schedule.",2025-11-06T02:29:38.241114,0,,
robot2-37.20,P20251106022922_2072bf,1,1,2,11,37.195619106292725,robot2,carrying,9,19,on_track,"Transporting N/A to Position (X6, Y14). Currently at Position (X9, Y19).",2025-11-06T02:29:38.243224,0,,
robot3-37.20,P20251106022922_2072bf,1,1,2,11,37.195619106292725,robot3,moving,14.521484375,15.628715134887974,replan,"Route recalculated. Current Position (X15, Y16). Robot is 21 seconds behind of schedule.",2025-11-06T02:29:38.243792,0,,
robot2-39.20,P20251106022922_2072bf,1,1,2,12,39.198538064956665,robot2,carrying,8.92578125,17.17421124828532,on_track,"Transporting p5 to Position (X6, Y14). Currently at Position (X9, Y17).",2025-11-06T02:29:38.878634,0,,
robot2-40.13,P20251106022922_2072bf,1,1,2,14,40.127612829208374,robot2,carrying,8.8671875,15.418381344307267,on_track,"Transporting p5 to Position (X6, Y14). Currently at Position (X9, Y15).",2025-11-06T02:29:40.763323,0,,
robot1-42.67,P20251106022922_2072bf,1,1,2,15,42.67326068878174,robot1,moving,4.951171875,4.572473708276178,on_track,"Moving to acquire package at Position (X5, Y5).",2025-11-06T02:29:41.702781,0,,
robot2-42.67,P20251106022922_2072bf,1,1,2,15,42.67326068878174,robot2,carrying,7.373046875,14.503886602652036,on_track,"Transporting p5 to Position (X6, Y14). Currently at Position (X7, Y15).",2025-11-06T02:29:41.702986,0,,
robot3-42.67,P20251106022922_2072bf,1,1,2,15,42.67326068878174,robot3,moving,13.5986328125,16.287151348879743,replan,"Route recalculated. Current Position (X14, Y16). Robot is 22 seconds behind of schedule.",2025-11-06T02:29:41.703114,0,,
robot2-44.49,P20251106022922_2072bf,1,1,2,17,44.488569498062134,robot2,carrying,6.494140625,14.138088705989942,replan,"Route recalculated. Carrying p5. Current Position (X6, Y14). Robot is 5 seconds behind of schedule.",2025-11-06T02:29:43.583580,0,,
robot1-50.13,P20251106022922_2072bf,1,1,2,25,50.128009557724,robot1,moving,6.328125,2.7983539094650207,on_track,"Moving to acquire package at Position (X6, Y3).",2025-11-06T02:29:51.135013,0,,
robot3-51.68,P20251106022922_2072bf,1,1,2,26,51.678486585617065,robot3,moving,13.84765625,15.77503429355281,replan,"Route recalculated. Current Position (X14, Y16). Robot is 29 seconds behind of schedule.",2025-11-06T02:29:52.062676,0,,
robot1-53.68,P20251106022922_2072bf,1,1,2,27,53.68022608757019,robot1,moving,8.1298828125,1.883859167809785,on_track,"Moving to acquire package at Position (X8, Y2).",2025-11-06T02:29:53.000461,0,,
robot1-55.13,P20251106022922_2072bf,1,1,2,28,55.127979040145874,robot1,moving,9,1,on_track,"Moving to acquire package at Position (X9, Y1).",2025-11-06T02:29:53.944294,0,,
