message_id,participant_id,scenario,condition,run_number,frame,sim_time,robot_id,robot_state,robot_x,robot_y,message_type,message_text,appear_timestamp_iso,clicked,click_timestamp_iso,time_to_click_seconds
robot1-5.13,P20251106082249_d785c9,1,3,1,0,5.127362251281738,robot1,moving,9,10,on_track,"Moving to acquire package at Position (X9, Y10). Currently at Position (X9, Y10, SW).",2025-11-06T08:22:51.107970,0,,
robot2-5.13,P20251106082249_d785c9,1,3,1,0,5.127362251281738,robot2,moving,11,10,on_track,"Moving to acquire package at Position (X11, Y10). Currently at Position (X11, Y10, SE).",2025-11-06T08:22:51.108222,1,2025-11-06T08:22:52.476000,1.3677778244018555
robot3-5.13,P20251106082249_d785c9,1,3,1,0,5.127362251281738,robot3,moving,10,10,on_track,"Moving to acquire package at Position (X10, Y10). Currently at Position (X10, Y10, SW).",2025-11-06T08:22:51.108341,1,2025-11-06T08:22:54.302000,3.1936590671539307
robot3-25.13,P20251106082249_d785c9,1,3,1,4,25.12954092025757,robot3,moving,12.548828125,12.409693644261546,on_track,"Moving to acquire package at Position (X13, Y12). Currently at Position (X13, Y12, NE).",2025-11-06T08:22:54.728255,0,,
robot1-30.13,P20251106082249_d785c9,1,3,1,5,30.12946343421936,robot1,moving,7.265625,6.090534979423868,on_track,"Moving to acquire package at Position (X7, Y6). Currently at Position (X7, Y6, SW).",2025-11-06T08:22:55.735921,0,,
robot2-30.13,P20251106082249_d785c9,1,3,1,5,30.12946343421936,robot2,moving,9.921875,14.10150891632373,on_track,"Moving to acquire package at Position (X10, Y14). Currently at Position (X10, Y14, NW).",2025-11-06T08:22:55.736262,0,,
robot3-30.13,P20251106082249_d785c9,1,3,1,5,30.12946343421936,robot3,moving,15.166015625,14.439871970736169,on_track,"Moving to acquire package at Position (X15, Y14). Currently at Position (X15, Y14, NE).",2025-11-06T08:22:55.736772,1,2025-11-06T08:22:56.004000,0.2672278881072998
pkg_discovery-d6-30.13,P20251106082249_d785c9,1,3,1,5,30.12946343421936,robot1,,7,5.5,package_discovery,Package **d6** discovered by **Robot1** and added to its own manifest.,2025-11-06T08:22:55.736907,0,,
robot1-32.68,P20251106082249_d785c9,1,3,1,6,32.675299644470215,robot1,moving,6.03515625,5.651577503429356,on_track,"Moving to acquire package at Position (X6, Y6). Currently at Position (X6, Y6, SW).",2025-11-06T08:22:56.803862,0,,
robot2-32.68,P20251106082249_d785c9,1,3,1,6,32.675299644470215,robot2,moving,9.62890625,15.564700502972107,on_track,"Moving to acquire package at Position (X10, Y16). Currently at Position (X10, Y16, NW).",2025-11-06T08:22:56.804175,0,,
robot3-32.68,P20251106082249_d785c9,1,3,1,6,32.675299644470215,robot3,moving,14.7265625,15.336076817558297,replan,"Route recalculated. Current Position (X15, Y15, NE). Robot is 18 seconds behind of schedule.",2025-11-06T08:22:56.804322,1,2025-11-06T08:22:58.289000,1.484677791595459
pkg_discovery-d7-32.68,P20251106082249_d785c9,1,3,1,6,32.675299644470215,robot2,,11,16,package_discovery,Package **d7** discovered by **Robot2**. **Robot3** is assigned for pickup.,2025-11-06T08:22:56.804420,0,,
robot2-35.13,P20251106082249_d785c9,1,3,1,8,35.12714958190918,robot2,moving,9.599609375,17.24737082761774,on_track,"Moving to acquire package at Position (X10, Y17). Currently at Position (X10, Y17, NW).",2025-11-06T08:22:58.708866,0,,
robot1-37.17,P20251106082249_d785c9,1,3,1,10,37.17093300819397,robot1,moving,5.33203125,4.9931412894375855,on_track,"Moving to acquire package at Position (X5, Y5). Currently at Position (X5, Y5, SW).",2025-11-06T08:23:00.768871,0,,
robot2-37.17,P20251106082249_d785c9,1,3,1,10,37.17093300819397,robot2,moving,9,19,on_track,"Moving to acquire package at Position (X9, Y19). Currently at Position (X9, Y19, NW).",2025-11-06T08:23:00.769094,0,,
pkg_discovery-d3-37.17,P20251106082249_d785c9,1,3,1,10,37.17093300819397,robot2,,8,19,package_discovery,Package **d3** discovered by **Robot2**. **Robot3** is assigned for pickup.,2025-11-06T08:23:00.769433,0,,
