"(1, 1)",50,51
"(1, 2)",50,50
"(0, 2)",60,49
"(0, 3)",100,48
"(0, 2)",80,47
"(1, 2)",80,46
"(1, 1)",80,45
"(2, 1)",140,44
"(1, 1)",110,49
"(1, 2)",130,48
"(1, 3)",130,47
"(1, 4)",180,46
"(1, 5)",160,51
"(2, 5)",160,50
"(3, 5)",170,49
"(4, 5)",190,46
"(4, 4)",210,45
"(3, 4)",200,44
"(3, 3)",220,43
"(2, 3)",230,42
"(3, 3)",220,41
"(3, 4)",250,40
"(3, 4)",260,40
"(3, 4)",300,40
"(4, 4)",290,43
"(4, 3)",270,42
"(4, 2)",280,45
"(5, 2)",290,44
"(5, 1)",300,43
"(5, 0)",330,42
"(5, 1)",320,41
"(5, 2)",350,40
"(5, 2)",340,40
"(5, 2)",350,40
"(4, 2)",370,35
"(4, 3)",390,34
"(4, 4)",390,33
"(3, 4)",440,32
"(3, 3)",410,31
"(2, 3)",460,30
"(3, 3)",420,29
"(3, 4)",460,28
"(3, 5)",460,27
"(2, 5)",460,26
"(1, 5)",490,25
"(1, 4)",520,24
"(1, 4)",500,24
"(1, 5)",490,15
"(2, 5)",510,14
"(3, 5)",510,13
"(4, 5)",570,12
"(4, 4)",560,11
"(4, 3)",550,10
"(5, 3)",580,9
"(5, 4)",560,8
"(5, 5)",600,7
"(5, 4)",580,6
"(5, 3)",640,5
"(4, 3)",610,4
"(4, 4)",630,3
"(3, 4)",650,2
"(3, 3)",680,1
"(2, 3)",670,0
